YEAR,BUYING_DEALER,TOKEN_DONE,SUM_BID_AT_BOUGHT,AVG_BID_AT_BOUGHT,RECENT_BUY_DATE
2023,57329,41,9114347,222301.1,2023-12-17
2023,60217,91,3969191,43617.5,2023-12-27
2023,118451,50,28574087,571481.7,2023-12-21
2022,117652,5,1590734,318146.8,2022-12-21
2019,67810,5,1129115,225823.0,2019-12-07
2023,110523,39,10886393,279138.3,2023-12-19
2022,59529,53,10954606,206690.7,2022-12-27
2024,85372,16,7293700,455856.3,2024-05-11
2022,113876,6,158740,26456.7,2022-07-28
2024,118919,4,1009008,252252.0,2024-04-25
2020,72708,5,1542800,308560.0,2020-12-31
2023,94982,55,17324208,314985.6,2023-12-29
2024,108451,17,5754500,338500.0,2024-04-29
2022,64080,43,16783947,390324.3,2022-12-29
2018,15072,20,3959000,197950.0,2018-09-24
2021,84589,61,12955905,212391.9,2021-12-17
2022,58454,313,94961258,303390.6,2022-12-08
2020,68701,17,2163198,127246.9,2020-12-07
2023,107928,7,601017,85859.6,2023-11-04
2019,64855,53,3811436,71913.9,2019-12-27
2023,112919,13,4878946,375303.5,2023-09-26
2021,55732,57,15349253,269285.1,2021-12-30
2023,113347,45,9922310,220495.8,2023-12-04
2019,60223,3,446000,148666.7,2019-02-26
2018,53676,33,8555706,259263.8,2018-12-05
2023,107889,35,16927910,483654.6,2023-08-05
2021,67308,13,4746039,365079.9,2021-12-31
2022,58754,39,5491908,140818.2,2022-12-24
2022,73778,25,2044133,81765.3,2022-12-27
2021,60088,50,8018793,160375.9,2021-12-30
2023,120668,6,449400,74900.0,2023-12-17
2021,60687,22,7325405,332973.0,2021-12-31
2024,119411,10,1493300,149330.0,2024-05-03
2021,60019,16,3296316,206019.8,2021-09-18
2023,106203,18,7298685,405482.5,2023-12-11
2021,68153,16,3531803,220737.7,2021-12-15
2019,59235,47,4759888,101274.2,2019-04-25
2022,86316,78,18159981,232820.3,2022-12-31
2022,113049,17,2224946,130879.2,2022-12-30
2017,53913,35,6029309,172266.0,2017-12-30
2020,60086,23,2154702,93682.7,2020-12-29
2021,81678,16,988207,61762.9,2021-12-31
2024,115635,18,4479986,248888.1,2024-05-02
2021,61943,22,7031191,319599.6,2021-12-25
2024,77635,73,29881400,409334.2,2024-05-10
2022,98758,27,5804543,214983.1,2022-12-22
2022,100131,18,6027178,334843.2,2022-12-08
2020,67457,67,11087025,165478.0,2020-12-26
2020,57816,73,21521331,294812.8,2020-12-31
2021,81416,15,2483119,165541.3,2021-12-25
2017,53203,19,5122000,269578.9,2017-11-21
2019,69635,26,601494,23134.4,2019-12-22
2020,67922,14,2057146,146939.0,2020-12-23
2020,64279,18,1145270,63626.1,2020-12-24
2024,106084,7,2777100,396728.6,2024-03-28
2022,109300,18,4366211,242567.3,2022-12-27
2021,76736,20,6635290,331764.5,2021-12-12
2024,120180,38,9817900,258365.8,2024-05-13
2019,62214,3,478000,159333.3,2019-12-09
2021,60331,86,20470706,238031.5,2021-11-25
2024,73466,210,35999450,171426.0,2024-05-13
2023,59972,27,6310965,233739.4,2023-12-18
2021,62366,16,5784377,361523.6,2021-11-17
2022,101477,22,2536737,115306.2,2022-12-30
2021,57816,105,31319846,298284.2,2021-10-23
2022,63074,44,11994190,272595.2,2022-12-28
2019,60218,1,134000,134000.0,2019-01-07
2021,85254,32,9544985,298280.8,2021-09-10
2019,66460,8,4196480,524560.0,2019-11-16
2020,70556,29,3638897,125479.2,2020-12-31
2022,68719,35,11557809,330223.1,2022-12-24
2021,59679,92,15725164,170925.7,2021-12-11
2023,76132,14,3953256,282375.4,2023-12-29
2023,120100,15,3693300,246220.0,2023-12-31
2020,66746,83,20943388,252330.0,2020-12-30
2023,71305,12,2082995,173582.9,2023-12-19
2020,66286,11,1359025,123547.7,2020-10-06
2023,107279,54,20049499,371287.0,2023-12-05
2023,71250,95,22108754,232723.7,2023-12-20
2019,62377,91,39871786,438151.5,2019-12-30
2022,113721,40,10569884,264247.1,2022-12-13
2020,73958,82,37697019,459719.7,2020-09-28
2019,57116,27,8552155,316746.5,2019-07-30
2022,57587,15,7091659,472777.3,2022-12-12
2019,58496,27,14226345,526901.7,2019-11-13
2024,119839,29,13542300,466975.9,2024-05-09
2020,72406,67,12571700,187637.3,2020-12-29
2021,66119,82,13020070,158781.3,2021-12-25
2020,65147,16,3876541,242283.8,2020-12-20
2019,60322,53,17753221,334966.4,2019-12-19
2018,56045,58,18375666,316821.8,2018-12-19
2023,100567,21,2599995,123809.3,2023-11-21
2022,82804,14,5068179,362012.8,2022-12-12
2020,85867,1,691356,691356.0,2020-10-27
2018,35128,62,22400494,361298.3,2018-12-28
2022,98938,38,10308122,271266.4,2022-12-29
2024,70752,23,4795610,208504.8,2024-05-03
2022,106371,7,837979,119711.3,2022-07-29
2023,57935,25,6649909,265996.4,2023-12-21
2023,79584,40,11719993,292999.8,2023-12-29
2022,68629,229,48097051,210030.8,2022-12-30
